time,gFx,gFy,gFz,TgF
0.00346776,0.0847,0.5413,0.8338,0.998
0.003963593,0.0921,0.5428,0.8453,1.009
0.004260104,0.1011,0.5418,0.8609,1.022
0.004539427,0.1082,0.5403,0.8834,1.041
0.004768593,0.1143,0.5401,0.8978,1.054
0.007010052,0.1233,0.5401,0.8983,1.055
0.010729218,0.1367,0.5374,0.9032,1.060
0.011429895,0.1497,0.5323,0.9229,1.076
0.013828333,0.1602,0.5294,0.9479,1.097
0.0165675,0.1707,0.5259,0.9642,1.112
0.019176406,0.1800,0.5215,0.9688,1.115
0.021693281,0.1900,0.5169,0.9647,1.111
0.023506666,0.2009,0.5118,0.9620,1.108
0.027924947,0.2092,0.5074,0.9640,1.109
0.028328333,0.2158,0.5015,0.9637,1.108
0.030249947,0.2207,0.4964,0.9601,1.103
0.032853125,0.2217,0.4930,0.9540,1.096
0.03450875,0.2197,0.4900,0.9444,1.086
0.037142708,0.2168,0.4888,0.9308,1.073
0.039310104,0.2139,0.4876,0.9161,1.060
0.041520156,0.2107,0.4856,0.9002,1.044
0.044850677,0.2073,0.4839,0.8875,1.032
0.04847125,0.2034,0.4827,0.8773,1.022
0.049748385,0.1985,0.4817,0.8636,1.009
0.05207552,0.1904,0.4834,0.8492,0.996
0.054789531,0.1814,0.4893,0.8365,0.986
0.056244166,0.1736,0.4947,0.8260,0.978
0.058444322,0.1663,0.4969,0.8153,0.969
0.061491458,0.1597,0.4988,0.8060,0.961
0.063231562,0.1511,0.5025,0.8001,0.957
0.066504739,0.1426,0.5081,0.7948,0.954
0.068340416,0.1309,0.5201,0.7891,0.954
0.070454583,0.0886,0.5606,0.7572,0.946
0.072740677,0.0540,0.6089,0.7127,0.939
0.074623437,0.0564,0.6209,0.6954,0.934
0.07709552,0.0588,0.6092,0.6993,0.929
0.079698437,0.0615,0.5980,0.7100,0.930
0.081916041,0.0745,0.5933,0.7178,0.934
0.084106875,0.0984,0.5877,0.7110,0.928
0.086961718,0.1245,0.5809,0.6986,0.917
0.089320156,0.1392,0.5721,0.7020,0.916
0.091557083,0.1384,0.5577,0.7093,0.913
0.093422864,0.1345,0.5508,0.7340,0.927
0.095740625,0.1402,0.5452,0.7637,0.949
0.098526093,0.1438,0.5403,0.7552,0.940
0.100928177,0.1511,0.5482,0.7413,0.934
0.103707031,0.1802,0.5499,0.7432,0.942
0.105456666,0.1946,0.5587,0.7481,0.954
0.108015885,0.1851,0.5753,0.7420,0.957
0.11216651,0.1885,0.5687,0.7059,0.926
0.112584218,0.1926,0.5569,0.6751,0.896
0.115092656,0.1934,0.5628,0.6607,0.889
0.116577447,0.1926,0.5738,0.6827,0.912
0.118947291,0.1807,0.5704,0.7630,0.970
0.12133151,0.1677,0.5506,0.8529,1.029
0.123661458,0.1358,0.5440,0.9105,1.069
0.127361458,0.0913,0.5423,0.9176,1.070
0.128781145,0.0816,0.5215,0.8573,1.007
0.132416875,0.1033,0.5159,0.7857,0.946
0.133533906,0.1380,0.5296,0.7677,0.943
0.135847552,0.1670,0.5306,0.7972,0.972
0.138140729,0.1702,0.5252,0.8595,1.022
0.140640885,0.1453,0.5374,0.9271,1.081
0.143287135,0.1301,0.5335,0.9855,1.128
0.14526427,0.1118,0.5010,1.0253,1.147
0.147978125,0.0808,0.4849,0.9972,1.112
0.151285052,0.0808,0.4981,0.9256,1.054
0.153330156,0.0986,0.5264,0.8731,1.024
0.154683854,0.1196,0.5367,0.8470,1.010
0.157040208,0.1182,0.5284,0.8436,1.002
0.160681354,0.1018,0.5337,0.8326,0.994
0.161461927,0.0847,0.5457,0.8248,0.993
0.16402052,0.0569,0.5496,0.8390,1.005
0.165883541,0.0349,0.5455,0.8607,1.020
0.169988385,0.0171,0.5408,0.8695,1.024
0.172090937,-0.0090,0.5503,0.8497,1.012
0.174393385,-0.0422,0.5740,0.8138,0.997
0.177083854,-0.0701,0.6004,0.7872,0.993
0.178696822,-0.0818,0.6187,0.7843,1.002
0.181599583,-0.0872,0.6260,0.8023,1.021
0.183077395,-0.0923,0.6273,0.8221,1.038
