time,gFx,gFy,gFz,TgF
0.001825105,0.0422,0.3184,0.9273,0.981
0.002277552,0.0349,0.3260,0.9007,0.959
0.002563125,0.0295,0.3338,0.8726,0.935
0.002838594,0.0215,0.3396,0.8482,0.914
0.004659948,0.0076,0.3453,0.8326,0.901
0.007294532,-0.0115,0.3496,0.8243,0.895
0.009693073,-0.0281,0.3528,0.8206,0.894
0.012316719,-0.0388,0.3528,0.8199,0.893
0.014037657,-0.0510,0.3575,0.8206,0.897
0.016438646,-0.0625,0.3687,0.8167,0.898
0.01925625,-0.0764,0.3782,0.8228,0.909
0.02143875,-0.0955,0.3833,0.8421,0.930
0.026934688,-0.1065,0.3809,0.8631,0.949
0.027467344,-0.0947,0.3677,0.8946,0.972
0.029282917,-0.0808,0.3582,0.9129,0.984
0.031372448,-0.0823,0.3557,0.9046,0.976
0.033367032,-0.0901,0.3555,0.8941,0.966
0.035837344,-0.1013,0.3633,0.8934,0.970
0.038242448,-0.1094,0.3726,0.9034,0.983
0.041811771,-0.1096,0.3760,0.9261,1.006
0.04231599,-0.1006,0.3733,0.9471,1.023
0.04485349,-0.0869,0.3658,0.9635,1.034
0.04734474,-0.0784,0.3584,0.9872,1.053
0.049424532,-0.0752,0.3543,1.0106,1.074
0.051525313,-0.0667,0.3521,1.0172,1.078
0.053996511,-0.0645,0.3531,1.0248,1.086
0.056219323,-0.0806,0.3540,1.0572,1.118
0.059023125,-0.0913,0.3528,1.0865,1.146
0.061776302,-0.0940,0.3496,1.1061,1.164
0.063896927,-0.0940,0.3448,1.1212,1.177
0.066043073,-0.0818,0.3399,1.1158,1.169
0.068550625,-0.0581,0.3369,1.0843,1.137
0.070785886,-0.0313,0.3367,1.0489,1.102
0.07316948,-0.0098,0.3391,1.0370,1.091
0.075367761,0.0085,0.3423,1.0462,1.101
0.078466042,0.0281,0.3423,1.0553,1.110
0.080490417,0.0471,0.3413,1.0548,1.110
0.082139844,0.0620,0.3404,1.0475,1.103
0.084338282,0.0718,0.3396,1.0360,1.093
0.087817657,0.0794,0.3416,1.0245,1.083
0.089112552,0.0852,0.3406,1.0155,1.074
0.09313448,0.0874,0.3369,1.0089,1.067
0.093951927,0.0894,0.3340,1.0043,1.062
0.096710261,0.0940,0.3284,0.9964,1.053
0.099315573,0.0925,0.3247,0.9886,1.045
0.102739271,0.0867,0.3247,0.9879,1.044
0.104278177,0.0833,0.3240,0.9857,1.041
0.106482813,0.0791,0.3233,0.9784,1.033
0.108791563,0.0759,0.3240,0.9701,1.026
0.11126099,0.0720,0.3257,0.9593,1.016
0.113318438,0.0674,0.3277,0.9420,1.000
0.115480938,0.0603,0.3299,0.9273,0.986
0.118293334,0.0481,0.3326,0.9269,0.986
0.120606407,0.0364,0.3299,0.9320,0.989
0.121885157,0.0325,0.3186,0.9276,0.981
0.125362084,0.0444,0.3096,0.9156,0.968
0.127908542,0.0603,0.3042,0.9002,0.952
0.129438959,0.0635,0.3006,0.8834,0.935
0.13137724,0.0584,0.3028,0.8702,0.923
0.1335875,0.0486,0.3089,0.8604,0.915
0.135934011,0.0398,0.3194,0.8578,0.916
0.138917448,0.0327,0.3304,0.8587,0.921
0.14190724,0.0242,0.3423,0.8582,0.924
0.144702344,0.0127,0.3557,0.8643,0.935
0.147185313,-0.0007,0.3675,0.8746,0.949
0.149410573,-0.0132,0.3726,0.8871,0.962
0.150495209,-0.0237,0.3726,0.9085,0.982
0.152879532,-0.0335,0.3716,0.9315,1.003
0.155315313,-0.0430,0.3702,0.9500,1.021
0.160850157,-0.0471,0.3702,0.9691,1.038
0.161369532,-0.0464,0.3721,0.9928,1.061
0.162825209,-0.0459,0.3714,1.0194,1.086
0.164772813,-0.0452,0.3665,1.0455,1.109
0.166714479,-0.0459,0.3597,1.0694,1.129
