time,gFx,gFy,gFz,TgF
0.825121093,0.1033,0.2117,0.8492,0.881
0.826019427,0.1138,0.2158,0.8492,0.884
0.826609427,0.1292,0.2163,0.8485,0.885
0.827056562,0.1409,0.2136,0.8519,0.890
0.827559062,0.1438,0.2107,0.8609,0.898
0.830126145,0.1455,0.2073,0.8719,0.908
0.832083437,0.1477,0.2027,0.8834,0.918
0.83443401,0.1497,0.1990,0.8958,0.930
0.836863385,0.1533,0.1968,0.9083,0.942
0.839919687,0.1560,0.1961,0.9203,0.954
0.84164276,0.1502,0.2005,0.9271,0.960
0.844165,0.1382,0.2068,0.9293,0.962
0.846389791,0.1284,0.2092,0.9308,0.963
0.84885552,0.1243,0.2073,0.9344,0.965
0.851055989,0.1233,0.2073,0.9395,0.970
0.85457776,0.1272,0.2071,0.9459,0.977
0.856765,0.1323,0.2034,0.9549,0.985
0.859634323,0.1316,0.2017,0.9645,0.994
0.86050276,0.1275,0.2024,0.9708,1.000
0.862393229,0.1209,0.2029,0.9730,1.001
0.864844375,0.1087,0.2063,0.9774,1.005
0.867633177,0.0916,0.2119,0.9876,1.014
0.870154062,0.0774,0.2144,0.9999,1.026
0.872823906,0.0698,0.2129,1.0143,1.039
0.875102552,0.0606,0.2141,1.0306,1.054
0.877062812,0.0510,0.2188,1.0448,1.069
0.879170208,0.0459,0.2207,1.0592,1.083
0.881517916,0.0374,0.2239,1.0734,1.097
0.883911198,0.0261,0.2251,1.0851,1.108
0.887019687,0.0139,0.2217,1.0990,1.121
0.889047916,0.0034,0.2173,1.1127,1.134
0.891631406,-0.0007,0.2141,1.1273,1.147
0.893548125,-0.0042,0.2114,1.1471,1.166
0.895774323,-0.0117,0.2071,1.1820,1.200
0.897982448,-0.0144,0.1988,1.2216,1.238
0.900920989,-0.0002,0.1883,1.2269,1.241
0.903177448,0.0330,0.1770,1.1862,1.200
0.905568802,0.0774,0.1704,1.1254,1.141
0.908144062,0.1204,0.1663,1.0712,1.091
0.90999677,0.1543,0.1594,1.0292,1.053
0.911555312,0.1765,0.1502,0.9942,1.021
0.913875885,0.1919,0.1404,0.9637,0.993
0.91647427,0.2132,0.1299,0.9447,0.977
0.920464375,0.2285,0.1187,0.9425,0.977
0.921744166,0.2278,0.1152,0.9486,0.982
0.923967968,0.2302,0.1126,0.9549,0.989
0.926273645,0.2412,0.1030,0.9630,0.998
0.928478906,0.2444,0.0913,0.9698,1.004
0.930754166,0.2290,0.0850,0.9701,1.000
0.933385208,0.2110,0.0813,0.9681,0.994
0.936276041,0.2009,0.0745,0.9737,0.997
0.938188281,0.1839,0.0728,0.9742,0.994
0.939932968,0.1668,0.0776,0.9715,0.989
0.944071927,0.1714,0.0735,0.9789,0.996
0.944693073,0.1726,0.0671,0.9825,1.000
0.946745468,0.1568,0.0693,0.9835,0.998
0.950061093,0.1475,0.0725,0.9913,1.005
0.952002291,0.1526,0.0711,1.0055,1.019
0.954629479,0.1604,0.0667,1.0191,1.034
0.957244791,0.1665,0.0640,1.0323,1.048
0.959125416,0.1690,0.0654,1.0494,1.065
0.96155625,0.1673,0.0667,1.0694,1.084
0.963561979,0.1648,0.0708,1.0890,1.104
0.965897239,0.1541,0.0803,1.0978,1.111
0.970975468,0.1338,0.0913,1.0975,1.109
0.971514218,0.1177,0.0982,1.1014,1.112
0.972749843,0.1074,0.1016,1.1117,1.121
0.975971041,0.0947,0.1067,1.1256,1.135
0.978253802,0.0786,0.1128,1.1366,1.145
0.980151145,0.0584,0.1233,1.1415,1.150
0.981880677,0.0408,0.1360,1.1373,1.146
0.986705208,0.0276,0.1448,1.1258,1.135
0.987247239,0.0164,0.1538,1.1144,1.125
0.988971093,0.0063,0.1631,1.1012,1.113
0.991386562,0.0015,0.1699,1.0902,1.103
0.993682864,0.0100,0.1746,1.0836,1.098
0.995895312,0.0251,0.1763,1.0741,1.089
0.998813177,0.0359,0.1775,1.0648,1.080
1.001764479,0.0398,0.1831,1.0558,1.072
1.003381823,0.0369,0.1907,1.0370,1.055
1.006229323,0.0474,0.1917,1.0289,1.048
1.009493333,0.0921,0.1790,1.0462,1.065
1.011675625,0.1287,0.1636,1.0462,1.067
1.013925677,0.1336,0.1568,1.0379,1.058
1.015214635,0.1282,0.1502,1.0306,1.049
1.019065833,0.1133,0.1475,1.0086,1.026
1.020288854,0.1074,0.1475,1.0021,1.019
1.022182812,0.1182,0.1387,1.0016,1.018
1.024721354,0.1223,0.1309,0.9928,1.009
1.027695416,0.1084,0.1328,0.9745,0.989
1.03009526,0.1011,0.1372,0.9681,0.983
1.032209322,0.1116,0.1406,0.9757,0.992
1.033570781,0.1184,0.1441,0.9667,0.984
1.03613026,0.1189,0.1492,0.9513,0.970
1.039019895,0.1304,0.1528,0.9491,0.970
1.042052135,0.1438,0.1568,0.9535,0.977
1.04417177,0.1463,0.1646,0.9505,0.976
1.045811458,0.1590,0.1673,0.9457,0.973
1.047994843,0.1726,0.1699,0.9417,0.972
1.054184114,0.1768,0.1748,0.9359,0.968
1.054863958,0.1746,0.1778,0.9220,0.955
1.05514776,0.1655,0.1843,0.9139,0.947
1.058956718,0.1550,0.1904,0.9054,0.938
1.060628333,0.1375,0.1985,0.8890,0.921
1.062845677,0.1172,0.2085,0.8905,0.922
1.063998333,0.1001,0.2176,0.8861,0.918
1.06627927,0.0850,0.2090,0.8748,0.903
1.06923026,0.0784,0.1756,0.8578,0.879
1.072885208,0.0689,0.1572,0.8365,0.854
1.073970572,0.0535,0.1604,0.8236,0.841
1.075806093,0.0466,0.1616,0.8048,0.822
1.080009895,0.0398,0.1643,0.7916,0.809
1.081285468,0.0188,0.1741,0.7872,0.806
1.084611302,-0.0063,0.1880,0.7823,0.805
1.087558385,-0.0210,0.1985,0.7747,0.800
1.088020468,-0.0283,0.2056,0.7674,0.795
