time,gFx,gFy,gFz,TgF
1.899480728,-0.1624,0.6590,0.7240,0.992
1.901042603,-0.1626,0.6524,0.7388,0.999
1.902599009,-0.1626,0.6487,0.7479,1.003
1.905382812,-0.1607,0.6478,0.7545,1.007
1.907250364,-0.1533,0.6500,0.7613,1.013
1.909631405,-0.1414,0.6541,0.7721,1.022
1.911940989,-0.1292,0.6590,0.7896,1.037
1.914417343,-0.1209,0.6632,0.8111,1.055
1.916885832,-0.1157,0.6644,0.8289,1.069
1.918982291,-0.1128,0.6588,0.8387,1.072
1.922203176,-0.1109,0.6470,0.8407,1.067
1.924134791,-0.1043,0.6341,0.8370,1.055
1.926469374,-0.0923,0.6270,0.8370,1.050
1.929421509,-0.0796,0.6290,0.8438,1.055
1.931398957,-0.0662,0.6353,0.8538,1.066
1.933639062,-0.0584,0.6434,0.8668,1.081
1.935653801,-0.0593,0.6502,0.8766,1.093
1.938313541,-0.0664,0.6497,0.8761,1.093
1.940637395,-0.0745,0.6409,0.8634,1.078
1.942923072,-0.0784,0.6292,0.8453,1.057
1.945878228,-0.0769,0.6204,0.8324,1.041
1.947433749,-0.0698,0.6219,0.8302,1.040
1.949771926,-0.0610,0.6382,0.8399,1.057
1.952098853,-0.0596,0.6561,0.8519,1.077
1.954203905,-0.0623,0.6605,0.8575,1.084
1.956571874,-0.0657,0.6558,0.8595,1.083
1.958870624,-0.0703,0.6495,0.8592,1.079
1.961832134,-0.0759,0.6419,0.8504,1.068
1.964207551,-0.0816,0.6373,0.8333,1.052
1.966825937,-0.0837,0.6356,0.8155,1.037
1.968517499,-0.0859,0.6375,0.8023,1.028
1.971162395,-0.0864,0.6429,0.7952,1.026
1.973467134,-0.0816,0.6475,0.7879,1.023
1.975785416,-0.0759,0.6483,0.7835,1.020
1.978109009,-0.0730,0.6439,0.7813,1.015
1.980945312,-0.0728,0.6373,0.7735,1.005
1.983129478,-0.0772,0.6353,0.7635,0.996
1.984950676,-0.0864,0.6387,0.7528,0.991
1.987078593,-0.0982,0.6426,0.7391,0.984
1.989391353,-0.1091,0.6444,0.7261,0.977
1.991710051,-0.1130,0.6473,0.7156,0.972
1.993981405,-0.1130,0.6553,0.7110,0.974
1.997207134,-0.1104,0.6644,0.7125,0.980
1.999075259,-0.1040,0.6693,0.7149,0.985
2.001193332,-0.1004,0.6688,0.7139,0.983
